,All Attendees,Stream 1 ,Stream 2,Stream 3
,VSLT2/Foyer,VS 125,VS204,
9:00,Registration Open (Foyer),,,
9:00-9:30,Key Story (LT2) - Melanie McConnell,,,
9:30-9:45,Pitches - Day two,,,
9:45-10:45,,Unmistaken Identity,Digital Storytelling hands-on session (BYOD),Cut Copy Paste (Atrium)
10:45-11:00,Morning Tea  (Foyer),,,
11:00-12:00,,Social Media for Research,Version control and collaboration,Cut Copy Paste (Atrium)
12:00-12:30,Research Showcase (LT2),,,VR Showcase
12:30-1:30,Lunch,,,VR Showcase
1:30-2:00,Key Story (LT2) - Richard Arnold,,,
2:00-3:00,Miriam Ross and Aimee Whitcroft,R versus Python,Digital Humanities Project Showcase,GH Pages meets Bootstrap
3:00-3:30,Afternoon Tea (Foyer), ,,
3:30-4:30,,ggplot 2 and tidyverse for Data Science ,Software Carpentry pitches/python,Matauranga Maori and cultural data (LT2)
4:30-5:00,Closing Reflections Plenary + pitch for upcoming workshops,,,
